Student_id,Age_at_year_4,Year_1_Classes,Year_2_Classes,Year_3_Classes,Year_4_Classes,Year_1_Grades,Year_2_Grades,Year_3_Grades,Year_4_Grades,Year_1_Absences,Year_2_Absences,Year_3_Absences,Year_4_Absences,Year_1_Late_HW,Year_2_Late_HW,Year_3_Late_HW,Year_4_Late_HW,Year_1_Participation,Year_2_Participation,Year_3_Participation,Year_4_Participation
11,19,"Algebra 1, English 1, Biology, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Anatomy And Physiology, US History, Team Sports, Personal Fitness, Film","Algebra 2, English 3, Chemistry, Economics, Creative Writing, Volleyball, Individual Sports","Environmental Science, English 4, Math For College Readiness, Government, Physical Science, Latin, Technical Writing","66.5, 81.5, 92.2, 68.0, 97.1, 69.2, 67.1","78.3, 93.3, 85.6, 85.6, 78.9, 86.9, 93.0","81.7, 60.9, 60.5, 80.3, 89.4, 62.5, 77.6","77.2, 79.7, 65.4, 95.3, 99.1, 96.5, 60.5",7,4,1,1,6,3,2,7,10,9,9,7
12,17,"Algebra 1, English 1, Forensic Science, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Environmental Science, US History, Basketball, Personal Fitness, Biology","Algebra 2, English 3, Physical Science, Economics, French, Spanish, Band","Weight Lifting, English 4, Creative Writing, Government, Anatomy And Physiology, Chemistry, Latin","69.2, 75.5, 72.1, 81.7, 97.2, 70.0, 71.2","98.5, 72.1, 84.3, 83.6, 68.4, 84.1, 70.9","74.3, 95.7, 91.2, 99.7, 68.0, 79.1, 65.3","87.6, 75.6, 90.2, 64.3, 62.2, 72.1, 95.7",3,10,4,9,6,4,3,3,8,9,6,6
13,19,"Algebra 1, English 1, Physical Science, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Anatomy And Physiology, US History, Weight Lifting, Personal Fitness, Technical Writing","Algebra 2, English 3, Forensic Science, Economics, French, Environmental Science, Biology","Latin, English 4, Creative Writing, Government, Theater, Individual Sports, Volleyball","99.4, 75.7, 72.6, 80.1, 96.2, 83.3, 75.5","77.3, 89.2, 86.5, 94.2, 85.5, 86.1, 67.9","94.6, 98.2, 89.5, 74.0, 64.1, 62.2, 69.8","84.4, 87.9, 75.7, 80.5, 95.0, 81.3, 63.2",4,1,6,4,1,10,9,8,10,7,6,7
14,18,"Algebra 1, English 1, Anatomy And Physiology, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Chemistry, US History, French, Personal Fitness, Basketball","Algebra 2, English 3, Biology, Economics, Spanish, Math For College Readiness, Weight Lifting","Theater, English 4, Environmental Science, Government, Technical Writing, Individual Sports, Physical Science","87.1, 90.1, 97.6, 92.1, 99.8, 77.7, 60.1","72.4, 80.1, 90.5, 66.7, 69.9, 80.9, 67.1","70.1, 96.9, 65.1, 78.7, 94.7, 73.2, 60.9","66.8, 84.5, 100.0, 92.5, 79.1, 67.9, 92.9",2,3,10,6,7,2,6,7,9,9,9,6
15,18,"Algebra 1, English 1, Anatomy And Physiology, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Forensic Science, US History, French, Personal Fitness, Technical Writing","Algebra 2, English 3, Environmental Science, Economics, Theater, Film, Math For College Readiness","Individual Sports, English 4, Creative Writing, Government, Basketball, Latin, Spanish","75.7, 91.9, 88.3, 77.7, 97.0, 84.1, 90.0","63.2, 64.4, 91.8, 84.3, 88.7, 70.9, 96.6","64.1, 79.1, 60.7, 75.7, 90.9, 93.6, 69.5","61.5, 92.3, 81.0, 73.5, 90.1, 80.6, 87.4",4,9,0,0,8,1,3,7,6,9,10,6
16,19,"Algebra 1, English 1, Chemistry, World History, Film, Weight Lifting, Math For Financial Literacy","Geometry, English 2, Physical Science, US History, Latin, Personal Fitness, Spanish","Algebra 2, English 3, Biology, Economics, Environmental Science, Math For College Readiness, Individual Sports","French, English 4, Technical Writing, Government, Volleyball, Theater, Chorus","83.0, 75.4, 78.0, 97.2, 66.1, 89.6, 76.1","69.4, 73.8, 89.1, 63.3, 75.2, 79.1, 95.5","97.5, 95.2, 68.0, 61.5, 76.8, 69.0, 65.5","84.6, 76.6, 64.2, 93.9, 75.2, 87.7, 90.3",6,0,4,1,1,1,0,8,6,6,7,9
17,19,"Algebra 1, English 1, Environmental Science, World History, Film, Weight Lifting, Math For Financial Literacy","Geometry, English 2, Anatomy And Physiology, US History, Individual Sports, Personal Fitness, Band","Algebra 2, English 3, Physical Science, Economics, Physical Science, Math For College Readiness, Forensic Science","French, English 4, Team Sports, Government, Biology, Chorus, Theater","62.4, 73.9, 67.2, 74.9, 65.1, 72.1, 76.7","66.9, 72.5, 77.7, 64.1, 67.4, 79.1, 86.3","70.9, 86.5, 89.5, 92.5, 93.9, 76.3, 70.9","74.0, 83.6, 87.9, 73.3, 93.0, 75.7, 75.6",10,3,9,4,5,4,9,6,6,9,10,6
18,18,"Algebra 1, English 1, Physical Science, World History, Band, Volleyball, Math For Financial Literacy","Geometry, English 2, Biology, US History, Chorus, Personal Fitness, French","Algebra 2, English 3, Chemistry, Economics, Basketball, Anatomy And Physiology, Spanish","Film, English 4, Team Sports, Government, Weight Lifting, Latin, Environmental Science","97.4, 94.7, 93.5, 91.4, 85.7, 67.7, 99.6","81.6, 80.4, 68.5, 68.2, 83.2, 93.0, 78.4","84.1, 85.1, 96.0, 63.4, 73.0, 94.1, 98.3","69.2, 79.1, 81.3, 76.8, 71.2, 95.1, 72.6",2,9,1,2,5,1,8,4,7,6,7,8
19,18,"Algebra 1, English 1, Forensic Science, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Physical Science, US History, French, Personal Fitness, Chorus","Algebra 2, English 3, Biology, Economics, Latin, Environmental Science, Spanish","Team Sports, English 4, Math For College Readiness, Government, Volleyball, Weight Lifting, Individual Sports","83.3, 88.7, 86.6, 99.2, 80.4, 67.2, 72.4","66.5, 80.2, 60.3, 75.4, 85.5, 72.3, 65.0","90.0, 73.5, 89.6, 80.8, 98.3, 90.4, 63.1","81.1, 98.4, 80.2, 92.4, 90.8, 73.1, 97.9",10,4,10,1,0,8,6,3,6,7,6,7
20,20,"Algebra 1, English 1, Anatomy And Physiology, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Chemistry, US History, Spanish, Personal Fitness, Weight Lifting","Algebra 2, English 3, Physical Science, Economics, Volleyball, Individual Sports, Math For College Readiness","Technical Writing, English 4, Forensic Science, Government, Band, Latin, Team Sports","74.1, 96.4, 88.7, 65.2, 96.4, 60.3, 88.5","66.4, 67.4, 75.0, 63.7, 70.9, 85.0, 73.2","68.4, 89.5, 96.3, 65.2, 78.7, 88.4, 69.7","76.8, 86.6, 80.3, 66.3, 96.3, 66.0, 96.8",6,10,0,10,8,5,5,4,7,10,10,9
21,18,"Algebra 1, English 1, Anatomy And Physiology, World History, Film, Weight Lifting, Math For Financial Literacy","Geometry, English 2, Chemistry, US History, Spanish, Personal Fitness, Theater","Algebra 2, English 3, Forensic Science, Economics, Forensic Science, French, Team Sports","Biology, English 4, Creative Writing, Government, Chorus, Technical Writing, Volleyball","83.3, 62.9, 70.4, 74.6, 80.5, 97.2, 97.7","63.4, 83.8, 72.7, 65.9, 95.7, 78.2, 97.8","94.7, 76.2, 81.2, 81.3, 61.6, 80.3, 87.0","84.4, 81.6, 79.9, 86.2, 68.3, 88.9, 96.7",2,5,1,4,7,7,8,3,10,10,8,8
22,17,"Algebra 1, English 1, Physical Science, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Biology, US History, Chorus, Personal Fitness, Film","Algebra 2, English 3, Forensic Science, Economics, Forensic Science, Team Sports, Volleyball","Anatomy And Physiology, English 4, Spanish, Government, Band, Chemistry, Weight Lifting","62.5, 87.5, 92.7, 87.2, 99.9, 82.0, 98.3","77.3, 82.1, 89.4, 93.2, 86.7, 87.4, 87.5","74.1, 83.8, 71.6, 92.5, 70.0, 64.2, 92.0","94.1, 99.2, 80.3, 92.5, 87.1, 82.6, 75.5",2,2,6,3,4,3,6,6,10,10,7,8
23,20,"Algebra 1, English 1, Biology, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Physical Science, US History, Film, Personal Fitness, French","Algebra 2, English 3, Forensic Science, Economics, Math For College Readiness, Individual Sports, Creative Writing","Spanish, English 4, Environmental Science, Government, Latin, Chemistry, Theater","74.0, 79.3, 64.5, 71.1, 94.9, 68.1, 77.4","69.9, 69.4, 68.4, 90.8, 77.1, 85.5, 68.4","72.4, 90.9, 69.5, 96.2, 78.3, 82.8, 92.1","91.8, 85.4, 88.4, 77.3, 90.5, 77.5, 88.6",3,1,7,8,5,9,3,9,9,8,7,6
24,17,"Algebra 1, English 1, Environmental Science, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Forensic Science, US History, Latin, Personal Fitness, Physical Science","Algebra 2, English 3, Anatomy And Physiology, Economics, Team Sports, Spanish, Creative Writing","Chemistry, English 4, Volleyball, Government, Individual Sports, Technical Writing, French","81.3, 93.7, 72.0, 82.8, 61.8, 68.2, 92.9","70.1, 74.4, 93.6, 78.9, 61.7, 86.9, 80.1","95.3, 70.9, 87.9, 66.7, 86.3, 64.4, 94.0","63.6, 93.3, 94.9, 77.8, 90.0, 66.9, 85.5",8,6,3,5,5,3,6,5,10,6,6,10
25,20,"Algebra 1, English 1, Physical Science, World History, Band, Volleyball, Math For Financial Literacy","Geometry, English 2, Environmental Science, US History, Theater, Personal Fitness, Basketball","Algebra 2, English 3, Forensic Science, Economics, Forensic Science, Creative Writing, Technical Writing","Chorus, English 4, Weight Lifting, Government, Math For College Readiness, Team Sports, Chemistry","60.6, 83.7, 84.5, 65.6, 97.8, 74.3, 72.9","90.3, 93.4, 95.5, 63.6, 97.7, 91.4, 89.7","61.6, 96.9, 72.3, 62.5, 97.4, 88.3, 98.6","66.6, 89.6, 86.2, 76.8, 88.7, 88.2, 77.1",4,6,4,7,1,8,3,10,7,8,8,9
26,18,"Algebra 1, English 1, Biology, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Anatomy And Physiology, US History, Film, Personal Fitness, Basketball","Algebra 2, English 3, Forensic Science, Economics, Latin, Chemistry, Theater","French, English 4, Individual Sports, Government, Math For College Readiness, Technical Writing, Spanish","78.4, 93.6, 60.6, 80.4, 60.8, 66.8, 62.7","63.0, 83.6, 68.5, 82.3, 63.9, 68.5, 64.6","64.5, 62.4, 88.7, 60.9, 86.8, 85.2, 61.6","83.4, 92.4, 73.3, 81.9, 81.4, 75.8, 69.2",0,0,6,5,2,3,4,2,8,8,9,7
27,17,"Algebra 1, English 1, Physical Science, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Chemistry, US History, Band, Personal Fitness, Technical Writing","Algebra 2, English 3, Anatomy And Physiology, Economics, Environmental Science, Anatomy And Physiology, Weight Lifting","Forensic Science, English 4, Team Sports, Government, Spanish, Individual Sports, Latin","95.9, 72.1, 63.4, 71.4, 66.1, 83.1, 97.9","84.4, 80.3, 75.3, 89.9, 88.0, 75.0, 80.2","69.6, 92.6, 90.9, 71.6, 67.5, 94.2, 68.7","68.6, 74.4, 64.8, 71.5, 76.9, 77.5, 89.5",0,2,3,1,6,0,10,4,9,10,6,6
28,19,"Algebra 1, English 1, Forensic Science, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Physical Science, US History, Basketball, Personal Fitness, Creative Writing","Algebra 2, English 3, Environmental Science, Economics, Latin, Weight Lifting, Volleyball","Math For College Readiness, English 4, Chemistry, Government, French, Band, Individual Sports","62.1, 61.9, 84.2, 60.7, 63.2, 90.7, 84.5","61.1, 66.3, 76.0, 65.2, 62.5, 79.1, 63.7","78.7, 84.6, 81.2, 87.7, 80.0, 87.8, 72.2","87.7, 79.6, 82.7, 93.6, 70.6, 76.4, 89.2",4,2,4,2,4,3,0,5,10,9,10,9
29,20,"Algebra 1, English 1, Anatomy And Physiology, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Biology, US History, Weight Lifting, Personal Fitness, Chemistry","Algebra 2, English 3, Physical Science, Economics, Band, French, Forensic Science","Creative Writing, English 4, Spanish, Government, Film, Individual Sports, Technical Writing","85.4, 73.3, 78.0, 79.8, 82.4, 70.2, 73.8","98.8, 87.4, 97.4, 69.3, 73.4, 61.9, 74.2","80.1, 89.5, 69.2, 64.1, 60.8, 74.9, 87.7","87.3, 89.2, 90.1, 88.8, 90.9, 95.0, 82.5",6,9,2,7,4,1,5,5,6,10,6,6
30,19,"Algebra 1, English 1, Physical Science, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Environmental Science, US History, Chorus, Personal Fitness, Creative Writing","Algebra 2, English 3, Forensic Science, Economics, Weight Lifting, French, Anatomy And Physiology","Biology, English 4, Band, Government, Latin, Technical Writing, Chemistry","62.8, 70.9, 71.5, 99.0, 95.2, 74.2, 63.7","74.4, 96.1, 99.9, 74.5, 72.4, 82.2, 89.1","70.6, 82.2, 73.7, 89.5, 67.9, 84.9, 79.0","94.7, 73.1, 62.0, 98.8, 61.6, 81.1, 69.9",2,1,5,10,6,6,10,5,10,9,10,8
31,20,"Algebra 1, English 1, Physical Science, World History, Film, Weight Lifting, Math For Financial Literacy","Geometry, English 2, Forensic Science, US History, Individual Sports, Personal Fitness, Chorus","Algebra 2, English 3, Anatomy And Physiology, Economics, Spanish, Math For College Readiness, Team Sports","Latin, English 4, Biology, Government, Band, Volleyball, Basketball","67.9, 71.8, 89.1, 99.3, 63.1, 89.0, 92.0","91.9, 83.1, 79.6, 83.4, 96.9, 76.8, 76.7","70.7, 92.0, 82.3, 74.6, 75.7, 88.5, 90.7","61.1, 95.0, 75.6, 80.6, 94.3, 99.3, 78.0",3,2,9,9,9,1,9,8,9,9,10,8
32,19,"Algebra 1, English 1, Biology, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Chemistry, US History, Volleyball, Personal Fitness, Weight Lifting","Algebra 2, English 3, Physical Science, Economics, Technical Writing, Basketball, Individual Sports","Theater, English 4, Creative Writing, Government, Anatomy And Physiology, Film, French","61.8, 98.0, 87.6, 69.7, 75.9, 84.2, 98.2","65.9, 72.4, 95.8, 66.9, 95.7, 93.5, 70.3","87.4, 69.6, 86.7, 85.0, 85.1, 77.5, 75.3","79.0, 64.7, 75.4, 87.1, 74.5, 97.3, 89.7",9,7,8,0,2,3,8,6,6,10,10,6
33,20,"Algebra 1, English 1, Chemistry, World History, Band, Volleyball, Math For Financial Literacy","Geometry, English 2, Biology, US History, Film, Personal Fitness, Theater","Algebra 2, English 3, Forensic Science, Economics, French, Environmental Science, Forensic Science","Physical Science, English 4, Weight Lifting, Government, Team Sports, Chorus, Math For College Readiness","79.8, 94.2, 74.2, 75.7, 70.2, 63.3, 81.3","88.6, 62.5, 68.4, 93.8, 68.9, 61.5, 85.7","69.2, 68.1, 78.2, 76.4, 78.0, 81.4, 76.6","99.6, 90.1, 94.9, 74.2, 83.1, 62.8, 87.0",6,10,2,0,3,1,4,3,8,9,7,10
34,18,"Algebra 1, English 1, Environmental Science, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Biology, US History, Volleyball, Personal Fitness, Forensic Science","Algebra 2, English 3, Physical Science, Economics, Weight Lifting, French, Spanish","Creative Writing, English 4, Theater, Government, Chemistry, Math For College Readiness, Anatomy And Physiology","89.7, 94.3, 87.9, 80.3, 93.5, 68.8, 88.8","75.8, 76.5, 98.9, 85.8, 72.1, 90.3, 87.9","85.5, 67.0, 60.8, 96.2, 63.4, 67.2, 91.0","80.5, 76.4, 66.2, 89.0, 98.0, 72.5, 75.5",9,5,9,7,1,1,1,10,10,6,8,6
35,19,"Algebra 1, English 1, Physical Science, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Environmental Science, US History, Film, Personal Fitness, Band","Algebra 2, English 3, Biology, Economics, Individual Sports, Creative Writing, Forensic Science","Technical Writing, English 4, Anatomy And Physiology, Government, French, Theater, Weight Lifting","83.7, 67.4, 80.3, 66.4, 95.2, 63.5, 69.5","64.9, 95.6, 83.3, 84.9, 84.2, 86.8, 99.4","72.2, 70.1, 81.8, 73.1, 73.0, 66.4, 85.8","94.4, 88.3, 88.8, 90.0, 70.5, 63.6, 68.2",5,5,6,1,7,10,7,1,10,8,7,8
36,20,"Algebra 1, English 1, Environmental Science, World History, Film, Weight Lifting, Math For Financial Literacy","Geometry, English 2, Physical Science, US History, Theater, Personal Fitness, Technical Writing","Algebra 2, English 3, Anatomy And Physiology, Economics, Latin, Individual Sports, Team Sports","Math For College Readiness, English 4, Volleyball, Government, Basketball, Chorus, Biology","78.2, 71.3, 91.7, 86.5, 98.1, 70.6, 80.7","84.5, 84.8, 100.0, 67.9, 73.3, 80.1, 90.0","92.0, 78.5, 71.6, 68.4, 63.7, 76.3, 92.8","71.7, 76.1, 88.6, 81.9, 99.0, 96.6, 67.6",8,5,1,5,3,1,7,0,6,7,7,6
37,17,"Algebra 1, English 1, Biology, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Forensic Science, US History, Film, Personal Fitness, Weight Lifting","Algebra 2, English 3, Anatomy And Physiology, Economics, Technical Writing, French, Volleyball","Spanish, English 4, Chemistry, Government, Band, Chorus, Team Sports","79.5, 71.9, 84.9, 65.1, 67.2, 96.9, 93.5","86.7, 68.2, 62.5, 74.0, 85.1, 95.1, 60.2","75.9, 64.2, 91.8, 70.8, 63.5, 82.7, 60.0","74.1, 72.7, 91.1, 92.5, 70.3, 79.3, 68.6",2,2,7,6,10,2,1,3,9,6,8,9
38,20,"Algebra 1, English 1, Forensic Science, World History, Chorus, Team Sports, Math For Financial Literacy","Geometry, English 2, Physical Science, US History, French, Personal Fitness, Math For College Readiness","English 3, Biology, Economics, Chemistry, Latin, Technical Writing","Band, English 4, Creative Writing, Government, Individual Sports, Weight Lifting, Environmental Science","92.9, 75.5, 96.5, 88.2, 94.3, 61.1, 99.2","84.3, 61.7, 93.9, 70.4, 87.7, 96.9, 96.0","94.5, 86.1, 90.2, 82.1, 67.3, 66.2, 89.4","75.5, 95.4, 84.9, 68.6, 77.8, 90.8, 83.6",2,7,10,5,10,6,6,7,7,7,8,10
39,19,"Algebra 1, English 1, Chemistry, World History, Band, Volleyball, Math For Financial Literacy","Geometry, English 2, Environmental Science, US History, Basketball, Personal Fitness, Individual Sports","Algebra 2, English 3, Biology, Economics, Film, Forensic Science, Math For College Readiness","Anatomy And Physiology, English 4, Theater, Government, Chorus, Physical Science, Team Sports","87.9, 84.5, 99.8, 68.4, 84.5, 80.8, 89.7","74.2, 84.0, 68.7, 65.9, 66.5, 90.7, 82.4","90.4, 65.0, 60.9, 64.9, 83.0, 80.8, 90.1","93.4, 86.8, 61.8, 87.6, 82.3, 72.3, 78.1",0,3,4,3,9,9,4,9,10,10,9,9
40,20,"Algebra 1, English 1, Environmental Science, World History, Theater, Basketball, Math For Financial Literacy","Geometry, English 2, Biology, US History, Latin, Personal Fitness, French","Algebra 2, English 3, Chemistry, Economics, Band, Creative Writing, Technical Writing","Individual Sports, English 4, Team Sports, Government, Film, Weight Lifting, Forensic Science","91.2, 65.3, 77.1, 68.1, 81.8, 65.9, 79.2","96.2, 77.9, 93.9, 69.7, 99.1, 65.0, 63.2","83.9, 78.5, 89.6, 95.2, 74.0, 93.0, 78.5","96.3, 63.5, 95.0, 66.1, 73.4, 69.8, 66.3",9,8,3,8,9,5,7,4,10,9,8,6
41,18,"Algebra 1, English 1, Chemistry, World History, Band, Volleyball, Math For Financial Literacy","Geometry, English 2, Physical Science, US History, French, Personal Fitness, Creative Writing","Algebra 2, English 3, Forensic Science, Economics, Forensic Science, Spanish, Film","Latin, English 4, Weight Lifting, Government, Technical Writing, Anatomy And Physiology, Chorus","93.4, 63.4, 69.2, 95.7, 91.7, 63.2, 68.4","60.9, 63.8, 73.6, 63.6, 93.6, 86.5, 61.5","73.1, 77.5, 98.8, 81.3, 70.2, 68.8, 68.2","93.0, 67.4, 74.2, 88.3, 88.6, 81.1, 89.9",8,5,6,8,4,2,7,10,6,8,7,7
42,19,"Algebra 1, English 1, Environmental Science, World History, Film, Weight Lifting, Math For Financial Literacy","Geometry, English 2, Anatomy And Physiology, US History, French, Personal Fitness, Forensic Science","Algebra 2, English 3, Biology, Economics, Basketball, Team Sports, Spanish","Volleyball, English 4, Physical Science, Government, Creative Writing, Individual Sports, Math For College Readiness","89.8, 95.5, 70.5, 60.5, 60.1, 89.2, 62.2","96.2, 91.3, 70.0, 70.5, 100.0, 64.1, 96.9","63.7, 62.4, 68.7, 93.9, 74.3, 91.3, 75.1","80.3, 78.9, 97.4, 67.3, 60.1, 97.5, 92.4",8,6,4,8,4,0,0,6,6,6,6,7
